GEOID,NAME,CONTOT14,CONDEM14,CONREP14,CONIND14,CONSCAT14,CONREP214,CONIND214
55079006900,69,786.509791066465596,749.881963190703686,21.408771246452286,13.274849775766560,1.944206853542958,0.000000000000000,0.000000000000000
55079007200,72,1518.346761323743976,1272.188490208360236,200.566514489312169,43.153979623425300,2.437777002646349,0.000000000000000,0.000000000000000
55079007300,73,1007.667899009223675,686.443510774815650,266.137830693046340,52.712493307273306,2.374064234088460,0.000000000000000,0.000000000000000
55079006500,65,818.626978150408149,806.388750136783756,5.189978655551841,6.095452261680011,0.952797096392429,0.000000000000000,0.000000000000000
55079007400,74,1258.698289693965762,781.514747754390896,429.142084229523675,44.422763937729158,3.618693772322064,0.000000000000000,0.000000000000000
55079007500,75,980.795578943597320,652.244689334189388,292.190207633587875,33.974672172849225,2.386009802970895,0.000000000000000,0.000000000000000
55079007600,76,1033.685995399599506,722.573490604490530,264.181237132528054,44.202463307325083,2.728804355256067,0.000000000000000,0.000000000000000
55139002800,28,1560.223846643746583,821.769982238113471,689.198631708237940,48.278970637820152,0.976262059574613,0.000000000000000,0.000000000000000
55139002900,29,694.479169648416359,362.913224725336249,304.424405384698900,25.665937016959553,1.475602521421603,0.000000000000000,0.000000000000000
55079003700,37,1050.342062045973535,969.683740032332707,71.545145768663275,8.994790615946659,0.118385629030848,0.000000000000000,0.000000000000000
55079003800,38,1072.661977278529776,1018.113659701671850,46.000348321990636,8.547968974200314,0.000000280667131,0.000000000000000,0.000000000000000
55079003900,39,1223.644541921447626,1183.758832716308007,29.453957940976938,9.431751004297425,1.000000259865339,0.000000000000000,0.000000000000000
55079007800,78,973.520511137518156,654.068202499750782,275.558638902546988,41.711227762428805,2.182441972791560,0.000000000000000,0.000000000000000
55079007900,79,898.269638935517946,739.246524778603543,112.552536853738360,45.818132026792128,0.652445276383989,0.000000000000000,0.000000000000000
55079008000,80,846.463309389700726,737.683661476466909,71.811141494378248,35.129715671129262,1.838790747726291,0.000000000000000,0.000000000000000
55079007700,77,1621.649592452324441,1154.317295145817752,404.799182731112808,58.342045536894723,4.191069038499183,0.000000000000000,0.000000000000000
55079008100,81,578.868676440080662,533.971176858354966,26.797256002908643,17.073821818988581,1.026421759828336,0.000000000000000,0.000000000000000
55079010600,106,521.943942448610187,413.224532537515415,87.569446429021326,19.776377173235616,1.373586308837870,0.000000000000000,0.000000000000000
