shape_id,county_name,precinct_id,sen_red,sen_blue,con_any_districts,con_red_votes,con_blue_votes,sldu_districts,sldu_red_votes,sldu_blue_votes,sldl_districts,sldl_red_votes,sldl_blue_votes,population,white_pop,black_pop,asian_pop,hispanic_pop,other_pop,median_age,median_income,education_pop,school_pop,diploma_pop,college_pop,graduate_pop,area_km2
2562,SURRY,25,429,197,6,449,214,30,427,206,90,458,199,2141,1984,39,0,87,31,22,16044,1534,436,626,437,36,81
2573,SURRY,26,641,247,6,678,253,30,652,236,90,659,261,4258,3934,125,0,183,16,49,41307,2942,610,1297,964,70,69
2567,SURRY,27,405,152,6,433,153,30,416,157,90,432,157,3104,2626,137,6,288,47,52,40098,2233,660,944,551,78,70
2570,SURRY,28,335,119,6,352,116,30,341,110,90,372,93,2257,1963,2,0,247,45,21,18751,1574,317,675,529,53,45
1135,SURRY,33,343,230,6,356,230,30,364,213,90,366,221,1987,1647,167,24,135,14,29,20944,1478,313,470,586,109,6
1891,SWAIN,ALARKA,233,205,11,281,213,50,253,239,119,272,219,1071,863,0,3,27,179,21,15668,864,210,331,283,40,68
1890,SWAIN,ALMOND,359,259,11,390,251,50,367,279,119,379,271,2939,2701,2,42,18,175,45,40923,2225,387,869,842,127,554
1888,SWAIN,BC1,546,477,11,627,468,50,568,528,119,602,521,1238,1110,1,15,12,101,20,17421,950,179,369,349,52,168
1889,SWAIN,BC2,513,526,11,561,540,50,495,610,119,552,574,3133,2604,148,5,40,336,42,34663,2170,460,810,776,124,172
1887,SWAIN,WHCH,394,497,11,470,483,50,416,537,119,425,527,5787,1793,65,11,245,3673,42,36585,3635,676,1339,1448,171,405
1588,TRANSYLVANIA,B1,382,531,11,433,521,48,420,529,113,456,503,1648,1512,43,17,13,64,11,9991,1224,168,412,478,167,7
1584,TRANSYLVANIA,B2,266,425,11,307,427,48,280,448,113,317,420,741,534,90,3,38,77,7,6068,504,57,146,241,60,11
1583,TRANSYLVANIA,B3,472,495,11,527,465,48,491,492,113,535,465,1326,1022,128,8,52,115,11,10121,923,111,279,418,114,16
1586,TRANSYLVANIA,B4,290,461,11,344,434,48,328,451,113,339,448,1594,1463,41,16,12,62,11,9660,1184,162,398,462,161,6
1579,TRANSYLVANIA,BD,694,501,11,798,488,48,730,552,113,801,475,3824,3208,257,44,251,64,30,30475,2503,348,846,1177,132,124
1582,TRANSYLVANIA,CC,712,447,11,800,430,48,740,480,113,841,392,4931,4294,232,35,114,255,37,34613,3554,491,1193,1445,425,76
1590,TRANSYLVANIA,CM,215,191,11,236,185,48,228,189,113,241,182,1585,1527,12,2,32,11,24,19912,1359,89,357,650,263,62
1589,TRANSYLVANIA,DR,699,650,11,757,621,48,738,649,113,776,614,1257,1208,10,2,26,11,18,15503,1064,74,291,500,200,48
1591,TRANSYLVANIA,EF,281,234,11,320,220,48,296,242,113,331,209,1446,1387,10,2,33,13,20,16993,1197,101,343,548,205,61
1585,TRANSYLVANIA,LR,528,294,11,579,277,48,554,306,113,591,265,2536,2388,40,1,68,40,37,34151,2046,92,736,846,372,44
1580,TRANSYLVANIA,PF,341,234,11,378,235,48,359,251,113,390,221,5019,4185,331,30,217,257,43,41640,3502,448,1171,1525,358,123
1581,TRANSYLVANIA,RE,649,246,11,724,219,48,657,274,113,765,197,1400,1320,9,2,43,27,13,13288,1020,170,406,374,71,80
2694,TRANSYLVANIA,TC1,315,87,11,331,86,48,310,102,113,339,78,2573,2425,16,4,80,49,24,24194,1870,313,744,684,129,147
2693,TRANSYLVANIA,TC7,551,248,11,609,230,48,582,254,113,637,202,1861,1768,9,3,9,71,46,31765,1644,167,626,656,194,157
1587,TRANSYLVANIA,WC,550,435,11,605,395,48,566,439,113,614,398,1192,1120,19,0,33,20,17,16140,957,41,352,390,173,19
1390,TYRRELL,1,8,83,3,34,61,3,,84,1,7,84,1439,810,436,41,139,13,15,11246,1084,328,446,265,45,350
1389,TYRRELL,14,12,5,3,21,1,3,,8,1,8,9,293,165,89,8,28,3,3,2283,221,67,91,54,9,71
1394,TYRRELL,15,66,83,3,92,61,3,,104,1,63,85,186,105,57,5,18,2,2,1450,140,43,58,34,6,45
2406,TYRRELL,16,7,0,3,6,2,3,,3,1,5,3,275,154,84,8,27,2,3,2143,207,63,85,50,8,67
2405,TYRRELL,2,185,161,3,253,113,3,,243,1,196,151,878,493,267,25,85,8,9,6839,661,201,272,161,27,214
2407,TYRRELL,3,40,30,3,50,23,3,,37,1,35,31,1064,598,323,30,103,10,11,8312,801,243,330,195,33,260
676,UNION,001,79,215,8,93,200,35,125,,68,114,,2971,1184,733,53,875,127,14,14991,1761,449,679,566,67,5
641,UNION,002,217,472,8,255,436,35,321,,68,301,,951,473,216,7,218,36,8,11036,610,122,209,250,29,4
683,UNION,003,180,256,8,214,227,35,252,,68,238,,1245,551,287,2,405,0,9,9118,776,259,261,219,37,5
675,UNION,004,87,400,8,86,396,35,135,,69,133,,2013,924,459,23,580,28,14,16757,1224,342,430,390,61,13
674,UNION,005,664,403,809,425,117,35,783,,69,765,,7484,4999,1107,84,1131,163,39,62814,4646,732,1856,1783,276,20
678,UNION,006,526,190,8,583,144,35,576,,69,587,,4191,3207,408,147,379,50,28,43854,2915,353,1167,1196,199,28
670,UNION,007,771,465,809,628,358,35,919,,55,806,481,6581,3801,1189,101,1410,79,49,60147,4333,839,1729,1613,152,49
679,UNION,008,323,629,8,377,587,35,478,,69,465,,1834,768,543,9,493,21,9,16368,941,203,358,340,39,14
2592,UNION,009,176,406,8,224,371,35,273,,55,152,454,196,125,55,1,14,2,1,1650,137,25,63,45,3,5
682,UNION,010,170,362,8,200,329,35,240,,68,222,,1048,458,232,24,317,17,7,8831,679,159,266,226,28,2
653,UNION,011,833,169,8,894,133,35,897,,55,806,218,4394,4148,102,76,46,21,27,38678,2986,254,1290,1252,189,148
651,UNION,012,901,157,8,969,127,36,914,,55,903,190,3246,3083,37,7,83,37,31,43936,2180,231,1115,784,50,83
680,UNION,013,980,150,8,1041,109,35,1021,,69,992,,2845,2595,101,57,60,31,19,29966,1883,176,838,776,93,40
647,UNION,014,310,145,9,378,,35,369,,69,354,,5861,4250,804,114,472,221,55,96024,3626,345,1301,1706,275,14
