Race,District,Winner,Dem?,Rep?,Other?,Dem Votes,Rep Votes,Other Votes,year,chamber,district_id,is_contested
State House 2012,District 75,Republican,No,Yes,No,,29073,,2012,sldl,075,No
State House 2012,District 76,Republican,No,Yes,No,,25486,,2012,sldl,076,No
State House 2012,District 77,Republican,Yes,Yes,No,13279,21526,,2012,sldl,077,Yes
State House 2012,District 78,Republican,Yes,Yes,No,8272,24880,,2012,sldl,078,Yes
State House 2012,District 79,Republican,Yes,Yes,No,11859,27749,,2012,sldl,079,Yes
State House 2012,District 80,Republican,Yes,Yes,No,11009,24080,,2012,sldl,080,Yes
State House 2012,District 81,Republican,No,Yes,No,,25775,,2012,sldl,081,No
State House 2012,District 82,Republican,No,Yes,No,,24674,,2012,sldl,082,No
State House 2012,District 83,Republican,Yes,Yes,No,12347,21219,,2012,sldl,083,Yes
State House 2012,District 84,Republican,Yes,Yes,No,12388,23284,,2012,sldl,084,Yes
State House 2012,District 85,Republican,Yes,Yes,No,10077,21895,,2012,sldl,085,Yes
State House 2012,District 86,Republican,Yes,Yes,No,12584,19537,,2012,sldl,086,Yes
State House 2012,District 87,Republican,No,Yes,No,,25757,,2012,sldl,087,No
State House 2012,District 88,Republican,Yes,Yes,No,18106,22081,,2012,sldl,088,Yes
State House 2012,District 89,Republican,No,Yes,No,,25735,,2012,sldl,089,No
State House 2012,District 90,Republican,No,Yes,No,,23153,,2012,sldl,090,No
State House 2012,District 91,Republican,Yes,Yes,No,14334,22417,,2012,sldl,091,Yes
State House 2012,District 92,Republican,Yes,Yes,No,17820,18843,,2012,sldl,092,Yes
State House 2012,District 93,Republican,Yes,Yes,No,18820,20003,,2012,sldl,093,Yes
State House 2012,District 94,Republican,No,Yes,No,,23601,,2012,sldl,094,No
State House 2012,District 95,Republican,No,Yes,No,,27856,,2012,sldl,095,No
State House 2012,District 96,Republican,Yes,Yes,No,12664,21073,,2012,sldl,096,Yes
State House 2012,District 97,Republican,No,Yes,No,,26690,,2012,sldl,097,No
State House 2012,District 98,Republican,No,Yes,No,,27971,,2012,sldl,098,No
State House 2012,District 99,Democratic,Yes,No,No,28282,,,2012,sldl,099,No
State House 2012,District 100,Democratic,Yes,No,No,24217,,,2012,sldl,100,No
State House 2012,District 101,Democratic,Yes,No,No,28653,,,2012,sldl,101,No
State House 2012,District 102,Democratic,Yes,No,No,26802,,,2012,sldl,102,No
State House 2012,District 103,Republican,No,Yes,No,,25477,,2012,sldl,103,No
State House 2012,District 104,Republican,No,Yes,No,,31319,,2012,sldl,104,No
State House 2012,District 105,Republican,No,Yes,No,,27028,,2012,sldl,105,No
State House 2012,District 106,Democratic,Yes,No,No,26577,,,2012,sldl,106,No
State House 2012,District 107,Democratic,Yes,No,No,32275,,,2012,sldl,107,No
State House 2012,District 108,Republican,No,Yes,No,,21933,,2012,sldl,108,No
State House 2012,District 109,Republican,Yes,Yes,No,13618,19772,,2012,sldl,109,Yes
State House 2012,District 110,Republican,Yes,"20,236","1,015","10,465 Yes",Yes,,2012,sldl,110,No
State House 2012,District 111,Republican,No,Yes,No,,22441,,2012,sldl,111,No
State House 2012,District 112,Republican,Yes,Yes,No,12059,19593,,2012,sldl,112,Yes
State House 2012,District 113,Republican,Yes,Yes,No,15055,25663,,2012,sldl,113,Yes
State House 2012,District 114,Democratic,Yes,No,No,34719,,,2012,sldl,114,No
State House 2012,District 115,Republican,Yes,Yes,No,19438,23118,,2012,sldl,115,Yes
State House 2012,District 116,Republican,Yes,Yes,No,16519,21291,,2012,sldl,116,Yes
State House 2012,District 117,Republican,No,Yes,No,,26217,,2012,sldl,117,No
State House 2012,District 118,Republican,Yes,Yes,No,17788,18749,,2012,sldl,118,Yes
State House 2012,District 119,Democratic,Yes,Yes,No,16679,15562,,2012,sldl,119,Yes
State House 2012,District 120,Republican,No,Yes,No,,28903,,2012,sldl,120,No
State House 2014,District 1,Republican,Yes,Yes,No,10082,15713,,2014,sldl,001,Yes
State House 2014,District 2,Republican,Yes,Yes,No,10259,13423,,2014,sldl,002,Yes
State House 2014,District 3,Republican,Yes,Yes,No,10524,14584,,2014,sldl,003,Yes
State House 2014,District 4,Republican,No,Yes,No,,,,2014,sldl,004,No
State House 2014,District 5,Democratic,Yes,Yes,No,14430,6620,,2014,sldl,005,Yes
State House 2014,District 6,Democratic,Yes,Yes,No,16523,14319,,2014,sldl,006,Yes
State House 2014,District 7,Democratic,Yes,No,No,,,,2014,sldl,007,No
State House 2014,District 8,Republican,Yes,Yes,No,10981,17035,,2014,sldl,008,Yes
State House 2014,District 9,Republican,Yes,Yes,No,8957,13474,,2014,sldl,009,Yes
State House 2014,District 10,Republican,No,Yes,No,,,,2014,sldl,010,No
State House 2014,District 11,Democratic,Yes,Yes,No,14799,9268,,2014,sldl,011,Yes
State House 2014,District 12,Democratic,Yes,No,No,,,,2014,sldl,012,No
State House 2014,District 13,Republican,Yes,Yes,No,8659,19946,,2014,sldl,013,Yes
State House 2014,District 14,Republican,No,Yes,No,,,,2014,sldl,014,No
State House 2014,District 15,Republican,No,Yes,No,,,,2014,sldl,015,No
State House 2014,District 16,Republican,Yes,Yes,No,7091,14049,,2014,sldl,016,Yes
State House 2014,District 17,Republican,Yes,Yes,No,10251,20945,,2014,sldl,017,Yes
State House 2014,District 18,Democratic,Yes,No,No,,,,2014,sldl,018,No
State House 2014,District 19,Republican,No,Yes,No,,,,2014,sldl,019,No
State House 2014,District 20,Republican,Yes,Yes,No,10252,16844,,2014,sldl,020,Yes
State House 2014,District 21,Democratic,Yes,No,No,,,,2014,sldl,021,No
State House 2014,District 22,Democratic,Yes,Yes,No,12208,11274,,2014,sldl,022,Yes
State House 2014,District 23,Democratic,Yes,No,No,,,,2014,sldl,023,No
State House 2014,District 24,Democratic,Yes,No,No,,,,2014,sldl,024,No
State House 2014,District 25,Republican,Yes,Yes,No,8990,19163,,2014,sldl,025,Yes
State House 2014,District 26,Republican,No,Yes,No,,,,2014,sldl,026,No
State House 2014,District 27,Democratic,Yes,No,No,,,,2014,sldl,027,No
State House 2014,District 28,Republican,No,Yes,No,,,,2014,sldl,028,No
State House 2014,District 29,Democratic,Yes,No,No,,,,2014,sldl,029,No
State House 2014,District 30,Democratic,Yes,No,No,,,,2014,sldl,030,No
State House 2014,District 31,Democratic,Yes,Yes,No,20745,2780,,2014,sldl,031,Yes
State House 2014,District 32,Democratic,Yes,No,No,,,,2014,sldl,032,No
State House 2014,District 33,Democratic,Yes,Yes,No,18552,2707,,2014,sldl,033,Yes
State House 2014,District 34,Democratic,Yes,No,No,,,,2014,sldl,034,No
State House 2014,District 35,Republican,Yes,Yes,No,12336,15891,,2014,sldl,035,Yes
State House 2014,District 36,Republican,Yes,Yes,No,16097,19159,,2014,sldl,036,Yes
State House 2014,District 37,Republican,No,Yes,No,,,,2014,sldl,037,No
State House 2014,District 38,Democratic,Yes,Yes,No,17883,4498,,2014,sldl,038,Yes
State House 2014,District 39,Democratic,Yes,No,No,,,,2014,sldl,039,No
State House 2014,District 40,Republican,Yes,Yes,No,13567,16120,,2014,sldl,040,Yes
State House 2014,District 41,Democratic,Yes,Yes,No,15160,14383,,2014,sldl,041,Yes
State House 2014,District 42,Democratic,Yes,No,No,,,,2014,sldl,042,No
State House 2014,District 43,Democratic,Yes,No,No,,,,2014,sldl,043,No
State House 2014,District 44,Democratic,Yes,Yes,No,10171,9200,,2014,sldl,044,Yes
State House 2014,District 45,Republican,No,Yes,No,,,,2014,sldl,045,No
State House 2014,District 46,Democratic,Yes,Yes,No,11551,10073,,2014,sldl,046,Yes
State House 2014,District 47,Democratic,Yes,No,No,,,,2014,sldl,047,No
State House 2014,District 48,Democratic,Yes,No,No,,,,2014,sldl,048,No
State House 2014,District 49,Republican,Yes,Yes,No,19290,20588,,2014,sldl,049,Yes
State House 2014,District 50,Democratic,Yes,Yes,No,18574,13920,,2014,sldl,050,Yes
State House 2014,District 51,Democratic,Yes,Yes,No,10755,9182,,2014,sldl,051,Yes
State House 2014,District 52,Republican,No,Yes,No,,,,2014,sldl,052,No
State House 2014,District 53,Republican,Yes,Yes,No,8707,10966,,2014,sldl,053,Yes
State House 2014,District 54,Democratic,Yes,Yes,No,16875,13156,,2014,sldl,054,Yes
State House 2014,District 55,Republican,Yes,Yes,No,8698,12484,,2014,sldl,055,Yes
State House 2014,District 56,Democratic,Yes,Yes,No,25601,5932,,2014,sldl,056,Yes
State House 2014,District 57,Democratic,Yes,No,No,,,,2014,sldl,057,No
State House 2014,District 58,Democratic,Yes,No,No,,,,2014,sldl,058,No
State House 2014,District 59,Republican,Yes,Yes,Yes,11925,19784,1155,2014,sldl,059,Yes
State House 2014,District 60,Democratic,Yes,No,No,,,,2014,sldl,060,No
State House 2014,District 61,Republican,Yes,Yes,No,9303,19030,,2014,sldl,061,Yes
State House 2014,District 62,Republican,Yes,Yes,No,11504,18841,,2014,sldl,062,Yes
State House 2014,District 63,Republican,Yes,Yes,No,9834,13041,,2014,sldl,063,Yes
State House 2014,District 64,Republican,No,Yes,No,,,,2014,sldl,064,No
State House 2014,District 65,Republican,Yes,Yes,No,8416,15808,,2014,sldl,065,Yes
State House 2014,District 66,Democratic,Yes,No,No,,,,2014,sldl,066,No
State House 2014,District 67,Republican,Yes,Yes,No,10367,15094,,2014,sldl,067,Yes
State House 2014,District 68,Republican,No,Yes,No,,,,2014,sldl,068,No
State House 2014,District 69,Republican,No,Yes,No,,,,2014,sldl,069,No
State House 2014,District 70,Republican,No,Yes,No,,,,2014,sldl,070,No
State House 2014,District 71,Democratic,Yes,Yes,No,12536,3824,,2014,sldl,071,Yes
State House 2014,District 72,Democratic,Yes,No,No,,,,2014,sldl,072,No
State House 2014,District 73,Republican,No,Yes,No,,,,2014,sldl,073,No
State House 2014,District 74,Republican,Yes,Yes,No,10351,17654,,2014,sldl,074,Yes
State House 2014,District 75,Republican,Yes,Yes,No,9857,16616,,2014,sldl,075,Yes
State House 2014,District 76,Republican,No,Yes,No,,,,2014,sldl,076,No
State House 2014,District 77,Republican,No,Yes,No,,,,2014,sldl,077,No
State House 2014,District 78,Republican,No,Yes,No,,,,2014,sldl,078,No
State House 2014,District 79,Republican,Yes,Yes,No,7811,18448,,2014,sldl,079,Yes
State House 2014,District 80,Republican,No,Yes,No,,,,2014,sldl,080,No
State House 2014,District 81,Republican,No,Yes,No,,,,2014,sldl,081,No
State House 2014,District 82,Republican,Yes,Yes,No,9404,13818,,2014,sldl,082,Yes
State House 2014,District 83,Republican,No,Yes,No,,,,2014,sldl,083,No
State House 2014,District 84,Republican,Yes,Yes,No,7487,15467,,2014,sldl,084,Yes
State House 2014,District 85,Republican,Yes,Yes,No,5188,15467,,2014,sldl,085,Yes
State House 2014,District 86,Republican,Yes,Yes,No,7926,13970,,2014,sldl,086,Yes
State House 2014,District 87,Republican,No,Yes,No,,,,2014,sldl,087,No
State House 2014,District 88,Republican,Yes,Yes,No,11805,14644,,2014,sldl,088,Yes
State House 2014,District 89,Republican,No,Yes,No,,,,2014,sldl,089,No
State House 2014,District 90,Republican,Yes,Yes,No,6251,13440,,2014,sldl,090,Yes
State House 2014,District 91,Republican,No,Yes,No,,,,2014,sldl,091,No
State House 2014,District 92,Republican,Yes,Yes,No,10621,11757,,2014,sldl,092,Yes
State House 2014,District 93,Republican,Yes,Yes,No,12274,13886,,2014,sldl,093,Yes
State House 2014,District 94,Republican,No,Yes,No,,,,2014,sldl,094,No
State House 2014,District 95,Republican,No,Yes,No,,,,2014,sldl,095,No
State House 2014,District 96,Republican,Yes,Yes,No,7196,14771,,2014,sldl,096,Yes
State House 2014,District 97,Republican,Yes,Yes,No,6898,16604,,2014,sldl,097,Yes
State House 2014,District 98,Republican,Yes,Yes,No,11922,14558,,2014,sldl,098,Yes
State House 2014,District 99,Democratic,Yes,No,No,,,,2014,sldl,099,No
State House 2014,District 100,Democratic,Yes,No,No,,,,2014,sldl,100,No
State House 2014,District 101,Democratic,Yes,No,No,,,,2014,sldl,101,No
State House 2014,District 102,Democratic,Yes,No,No,,,,2014,sldl,102,No
State House 2014,District 103,Republican,No,Yes,No,,,,2014,sldl,103,No
State House 2014,District 104,Republican,No,Yes,Yes,,18576,6266,2014,sldl,104,No
State House 2014,District 105,Republican,No,Yes,No,,,,2014,sldl,105,No
State House 2014,District 106,Democratic,Yes,Yes,No,12942,1996,,2014,sldl,106,Yes
State House 2014,District 107,Democratic,Yes,No,No,,,,2014,sldl,107,No
State House 2014,District 108,Republican,No,Yes,No,,,,2014,sldl,108,No
State House 2014,District 109,Republican,No,Yes,No,,,,2014,sldl,109,No
State House 2014,District 110,Republican,No,Yes,No,,,,2014,sldl,110,No
State House 2014,District 111,Republican,No,Yes,No,,,,2014,sldl,111,No
State House 2014,District 112,Republican,Yes,Yes,No,8997,12722,,2014,sldl,112,Yes
State House 2014,District 113,Republican,Yes,Yes,No,11379,19594,,2014,sldl,113,Yes
State House 2014,District 114,Democratic,Yes,No,No,,,,2014,sldl,114,No
State House 2014,District 115,Democratic,Yes,Yes,No,15523,15027,,2014,sldl,115,Yes
